time NV31 NV44 XDUT_LP1_I XDUT_B1_I XDUT_L2_I XDUT_L3_I XDUT_B2_I XDUT_LP2_I
1.875000000000001e-011 -4.419593977151408e-005 -4.862210816662421e-005 2.837857744607388e-004 2.450179586652890e-004 -3.457435525646526e-004 3.545364474353474e-004 2.407424799386454e-004 2.858817201137760e-004 
1.900000000000001e-011 1.525866992014569e-005 1.040391796769011e-005 2.884480537032317e-004 2.733472163815593e-004 -3.454596435102215e-004 3.548203564897785e-004 2.725542239527218e-004 2.910995780522703e-004 
1.925000000000001e-011 2.877511333227384e-005 3.092264395843448e-005 2.938576249748876e-004 2.891052116992845e-004 -3.451837600363233e-004 3.550962399636767e-004 2.913554495840066e-004 2.974434818866257e-004 
1.950000000000000e-011 7.103448386040476e-005 8.093878657703365e-005 2.969406562869446e-004 2.887525781982189e-004 -3.451629036006875e-004 3.551170963993125e-004 2.924447003427587e-004 3.013631785251503e-004 
1.975000000000000e-011 5.593876798303313e-005 6.993184267330596e-005 2.962124346519257e-004 2.750121872830496e-004 -3.454654867352633e-004 3.548145132647367e-004 2.781548213255039e-004 3.009182104397599e-004 
2.000000000000000e-011 7.120101448733841e-005 8.466937481260897e-005 2.920403321156693e-004 2.548761769813947e-004 -3.459803808716831e-004 3.542996191283169e-004 2.563017211023511e-004 2.964028710462958e-004 
2.025000000000000e-011 3.920081333540587e-005 4.952062003495156e-005 2.860556615577432e-004 2.359406348566266e-004 -3.465073936829847e-004 3.537726063170152e-004 2.357151460128624e-004 2.897969096822140e-004 
2.050000000000000e-011 4.941758204699911e-005 5.620049180433158e-005 2.801768284238225e-004 2.235870061298453e-004 -3.468723996333529e-004 3.534076003666471e-004 2.228285033965368e-004 2.835269725253755e-004 
2.075000000000000e-011 2.104790754934063e-005 2.555351338056166e-005 2.757834302984553e-004 2.196361463134054e-004 -3.470019924358757e-004 3.532780075641242e-004 2.198498815357613e-004 2.793207354142014e-004 
2.100000000000000e-011 3.872363395140923e-005 4.236663222614978e-005 2.733338165344551e-004 2.225904736564312e-004 -3.469356130080290e-004 3.533443869919710e-004 2.248983297216250e-004 2.776459271182107e-004 
2.125000000000000e-011 1.768278414956727e-005 2.140962804574577e-005 2.724280831787481e-004 2.289377191324738e-004 -3.467867432298412e-004 3.534932567701588e-004 2.335717905256438e-004 2.777962880109374e-004 
2.150000000000000e-011 4.079551898551566e-005 4.468093520523651e-005 2.721682371204361e-004 2.347900878658993e-004 -3.466807761047765e-004 3.535992238952235e-004 2.410605961612050e-004 2.784360767101278e-004 
2.175000000000000e-011 2.334136033974362e-005 2.712398209634176e-005 2.716005728892360e-004 2.372173747732267e-004 -3.466983221430925e-004 3.535816778569074e-004 2.439226082309443e-004 2.782774806991836e-004 
2.200000000000000e-011 4.895174963879956e-005 5.221123952073946e-005 2.700541981444524e-004 2.349042647728421e-004 -3.468464175833096e-004 3.534335824166904e-004 2.409390417769242e-004 2.765788561709405e-004 
2.224999999999999e-011 3.359278914487316e-005 3.624550366469665e-005 2.672802188484069e-004 2.280818027784895e-004 -3.470665788706914e-004 3.532134211293085e-004 2.329287277046897e-004 2.732937445004776e-004 
2.249999999999999e-011 6.126935061977461e-005 6.336218422805182e-005 2.633961529934541e-004 2.179440746347927e-004 -3.472707675759053e-004 3.530092324240947e-004 2.218330936121625e-004 2.688895205826757e-004 
2.274999999999999e-011 4.810765354518667e-005 4.989341157893909e-005 2.587086485611316e-004 2.058841150301225e-004 -3.473837012012022e-004 3.528962987987978e-004 2.096027141481179e-004 2.639926936267923e-004 
2.299999999999999e-011 7.825674087629069e-005 7.975824354122245e-005 2.535094770461138e-004 1.928499376448434e-004 -3.473704511159130e-004 3.529095488840870e-004 1.973543632615485e-004 2.590519762465992e-004 
2.324999999999999e-011 6.815474874915419e-005 6.929310201561205e-005 2.479209374700055e-004 1.789864677463134e-004 -3.472398801011571e-004 3.530401198988429e-004 1.850258043531441e-004 2.541507117252264e-004 
2.349999999999999e-011 1.025458547990310e-004 1.029542817362333e-004 2.418248407209127e-004 1.635728152675985e-004 -3.470280882667280e-004 3.532519117332720e-004 1.714885397587875e-004 2.489984560765788e-004 
2.374999999999999e-011 9.876134685660596e-005 9.816235068692229e-005 2.348659809051858e-004 1.451503750523607e-004 -3.467740440998041e-004 3.535059559001959e-004 1.549009435089531e-004 2.430438623515172e-004 
2.399999999999999e-011 1.426680177546741e-004 1.407817216447722e-004 2.264945492143615e-004 1.216987221379474e-004 -3.465001570716594e-004 3.537798429283406e-004 1.330454079579489e-004 2.356126480057975e-004 
2.424999999999999e-011 1.528300031019684e-004 1.496866885638194e-004 2.160111590239217e-004 9.076102305010498e-005 -3.462062937458948e-004 3.540737062541052e-004 1.034841286506243e-004 2.259903604529128e-004 
2.449999999999999e-011 2.161855028959819e-004 2.119374828398887e-004 2.026054005775191e-004 4.955253369977818e-005 -3.458809036830559e-004 3.543990963169441e-004 6.355479701294048e-005 2.134242038457257e-004 
2.474999999999999e-011 2.513061078397410e-004 2.465892875265897e-004 1.854408350507109e-004 -4.675177342508080e-006 -3.455312314773485e-004 3.547487685226515e-004 1.050010732253736e-005 1.970980246186694e-004 
2.499999999999999e-011 3.414804194631881e-004 3.375272979672281e-004 1.639499145298938e-004 -7.344347035230084e-005 -3.452346203365325e-004 3.550453796634675e-004 -5.764258269435447e-005 1.762516772980467e-004 
2.524999999999998e-011 3.929127519453406e-004 3.921516913734334e-004 1.386137137200210e-004 -1.545028831621466e-004 -3.451949162771063e-004 3.550850837228937e-004 -1.397115099146122e-004 1.507796563466371e-004 
2.549999999999998e-011 4.650987415209557e-004 4.699953858051451e-004 1.122618554663539e-004 -2.374020946561338e-004 -3.457093046877801e-004 3.545706953122199e-004 -2.271890868843560e-004 1.226287184322924e-004 
2.574999999999998e-011 4.451727423342208e-004 4.554080196473032e-004 9.080171297055110e-005 -2.960106442375923e-004 -3.469230280207946e-004 3.533569719792054e-004 -2.944847988426684e-004 9.725942770426118e-005 
2.599999999999998e-011 4.128949959213692e-004 4.230074880908710e-004 8.160248027772388e-005 -3.035459417558651e-004 -3.485204843510978e-004 3.517595156489022e-004 -3.119900124041757e-004 8.294210528288263e-005 
2.624999999999998e-011 3.227730097209340e-004 3.249637559115223e-004 8.972976494605619e-005 -2.478452695857635e-004 -3.497696147795800e-004 3.505103852204200e-004 -2.633253003069667e-004 8.684182063479194e-005 
2.649999999999998e-011 3.204256121271295e-004 3.102637079210186e-004 1.151867924160804e-004 -1.456750262085701e-004 -3.500480941948864e-004 3.502319058051135e-004 -1.598454742053976e-004 1.106867330676203e-004 
2.674999999999998e-011 3.643276170075746e-004 3.442871864386769e-004 1.535400359268378e-004 -3.109148576952629e-005 -3.493420846071289e-004 3.509379153928711e-004 -3.895641496365374e-005 1.499763690059698e-004 
2.699999999999998e-011 5.250194734739103e-004 5.043221723909231e-004 1.984140767829899e-004 5.905512836845431e-005 -3.482214164603877e-004 3.520585835396123e-004 5.852620099167676e-005 1.967869742208440e-004 
2.724999999999998e-011 6.340654565546021e-004 6.269226038445533e-004 2.426026676083014e-004 1.048361639800256e-004 -3.474374141804545e-004 3.528425858195455e-004 1.082973247616379e-004 2.423715645538234e-004 
2.749999999999998e-011 6.615286877289671e-004 6.772922658070816e-004 2.775799109442974e-004 1.077732315861560e-004 -3.474773440244145e-004 3.528026559755855e-004 1.104880141399781e-004 2.777278838494836e-004 
2.774999999999998e-011 4.811228137606067e-004 5.133372213397235e-004 2.956287638202050e-004 8.617212718477043e-005 -3.482987418828305e-004 3.519812581171694e-004 8.502389460871898e-005 2.954897693953039e-004 
2.799999999999997e-011 2.500240672476702e-004 2.801985968222796e-004 2.952173357505758e-004 6.623290805732126e-005 -3.494122949161776e-004 3.508677050838223e-004 6.092455890198315e-005 2.945234377643942e-004 
2.824999999999997e-011 4.035805817997039e-006 1.588501480521548e-005 2.832307269955899e-004 7.007221508024882e-005 -3.502387640851928e-004 3.500412359148072e-004 6.248667635054881e-005 2.818574359934618e-004 
2.849999999999997e-011 -8.788674897414436e-005 -1.007622491403480e-004 2.710156215505504e-004 1.058003595912524e-004 -3.504295759740382e-004 3.498504240259618e-004 9.840753401688709e-005 2.688149397943545e-004 
2.874999999999997e-011 -9.012808903631256e-005 -1.227154762860535e-004 2.680535315266089e-004 1.653116859901610e-004 -3.499602016193445e-004 3.503197983806555e-004 1.599063665741627e-004 2.648889167256910e-004 
2.899999999999997e-011 4.176872295234243e-005 3.530947006251222e-006 2.773586347272302e-004 2.287533764097711e-004 -3.490689131777349e-004 3.512110868222651e-004 2.260288755407540e-004 2.733326009930111e-004 
2.924999999999997e-011 1.529121921489038e-004 1.263071025791997e-004 2.946396418619772e-004 2.735197907691384e-004 -3.481381206913610e-004 3.521418793086390e-004 2.732018144348180e-004 2.902840989785164e-004 
2.949999999999997e-011 2.604404998602826e-004 2.574677859244807e-004 3.114707312984756e-004 2.851233715861366e-004 -3.475386793698127e-004 3.527413206301873e-004 2.863204563926122e-004 3.076643409821141e-004 
2.974999999999997e-011 2.466457021994580e-004 2.687000131967002e-004 3.203796740468167e-004 2.645151376808369e-004 -3.474779761830485e-004 3.528020238169515e-004 2.661468711217687e-004 3.180086962938519e-004 
2.999999999999997e-011 2.040143643364181e-004 2.423015685661134e-004 3.186095460144745e-004 2.268799951335232e-004 -3.479335500674888e-004 3.523464499325111e-004 2.280698108574978e-004 3.181876174254319e-004 
