time NV31 NV44 XDUT_LP1_I XDUT_B1_I XDUT_L2_I XDUT_L3_I XDUT_B2_I XDUT_LP2_I
1.750000000000001e-011 3.879542018306182e-004 3.918114163928763e-004 8.996961583282161e-005 2.831134594751546e-005 -3.152271142569168e-004 3.150248857430832e-004 3.016972978156969e-005 9.148283607356090e-005 
1.775000000000001e-011 4.793727107099740e-004 4.822196258353457e-004 1.508035733280014e-004 1.390152341584659e-004 -3.154021067798969e-004 3.148498932201031e-004 1.398590574468062e-004 1.520358315822969e-004 
1.800000000000001e-011 6.028515043354325e-004 6.004496563630569e-004 2.105782823458893e-004 2.017789356999089e-004 -3.155709565896297e-004 3.146810434103703e-004 2.015779772300550e-004 2.111629580583161e-004 
1.825000000000001e-011 5.642400151364520e-004 5.548206691003993e-004 2.532866483463934e-004 2.105001026683864e-004 -3.156108108144003e-004 3.146411891855997e-004 2.095481610742890e-004 2.529730825342111e-004 
1.850000000000001e-011 4.222511109548911e-004 4.081980307298085e-004 2.679428420296781e-004 1.795816198324156e-004 -3.154640176531766e-004 3.147879823468234e-004 1.783775211143531e-004 2.667494222210695e-004 
1.875000000000001e-011 1.845349187051973e-004 1.696246841605442e-004 2.561399651857693e-004 1.374915424416565e-004 -3.151583495798501e-004 3.150936504201499e-004 1.365276630953506e-004 2.543590104973587e-004 
1.900000000000001e-011 3.447993097025487e-005 2.055932389673226e-005 2.313553475275553e-004 1.127734124853459e-004 -3.147703096472151e-004 3.154816903527849e-004 1.122627551659848e-004 2.293246249685484e-004 
1.925000000000001e-011 -4.818937335674748e-005 -6.136851010080135e-005 2.107692854253644e-004 1.208112966880688e-004 -3.143706569110993e-004 3.158813430889007e-004 1.206064079758876e-004 2.086434398222222e-004 
1.950000000000000e-011 7.942726935675805e-006 -5.186785328910918e-006 2.066668660635398e-004 1.601743027544920e-004 -3.139996337857431e-004 3.162523662142569e-004 1.599095229941402e-004 2.043808223987823e-004 
1.975000000000000e-011 7.177356997796838e-005 6.034505309010149e-005 2.215439582835466e-004 2.161848199534555e-004 -3.136802452679946e-004 3.165717547320054e-004 2.155423297125327e-004 2.190005918677548e-004 
2.000000000000000e-011 1.619614431260868e-004 1.560552071467358e-004 2.482029627024475e-004 2.678326487603433e-004 -3.134399761392421e-004 3.168120238607579e-004 2.667931425974648e-004 2.455372507474646e-004 
2.025000000000000e-011 1.647126681310110e-004 1.679784506712184e-004 2.744556086999761e-004 2.968521341833780e-004 -3.133153010856748e-004 3.169366989143252e-004 2.957371282730954e-004 2.721235686193156e-004 
2.050000000000000e-011 1.562340994065060e-004 1.695274324704125e-004 2.897750723211242e-004 2.959476186815345e-004 -3.133397163896008e-004 3.169122836103992e-004 2.952173791924558e-004 2.883803157500169e-004 
2.075000000000000e-011 7.861695085491005e-005 9.921476901289740e-005 2.900473792401853e-004 2.713876239963944e-004 -3.135268726772959e-004 3.167251273227040e-004 2.713361784227848e-004 2.900221944696658e-004 
2.100000000000000e-011 3.819988679267778e-005 5.975740556986824e-005 2.781992324963820e-004 2.382772705922487e-004 -3.138565051398667e-004 3.163954948601333e-004 2.387698859215907e-004 2.794902264340280e-004 
2.125000000000000e-011 -1.800762240549728e-005 -4.249404619234518e-006 2.615579902164105e-004 2.122430238628184e-004 -3.142651613556150e-004 3.159868386443850e-004 2.125830289589249e-004 2.634215928262793e-004 
2.150000000000000e-011 1.607029041241108e-006 -9.095053319104973e-007 2.481245770953142e-004 2.029220462352206e-004 -3.146427961968840e-004 3.156092038031159e-004 2.019857903059336e-004 2.491802455534260e-004 
2.175000000000000e-011 1.266224810113358e-005 -9.715198542565971e-006 2.432923702684906e-004 2.116113353085039e-004 -3.148411256049700e-004 3.154108743950300e-004 2.084013331905958e-004 2.419988472807054e-004 
2.200000000000000e-011 7.233876765928394e-005 3.368465839340928e-005 2.479704744684070e-004 2.324116732530983e-004 -3.147031839870751e-004 3.155488160129249e-004 2.268417706169759e-004 2.434142457078531e-004 
2.224999999999999e-011 7.959301798929428e-005 3.432374724578685e-005 2.587736106412977e-004 2.555800318291261e-004 -3.141196367381734e-004 3.161323632618266e-004 2.489213148476870e-004 2.513063596257643e-004 
2.249999999999999e-011 1.011928714802036e-004 6.064750129230068e-005 2.701279150583917e-004 2.718618601583420e-004 -3.130964440214330e-004 3.171555559785670e-004 2.663791898431893e-004 2.613900198516067e-004 
2.274999999999999e-011 6.064826864728201e-005 3.445088902734700e-005 2.770626895914073e-004 2.761474749239634e-004 -3.117940084931074e-004 3.184579915068926e-004 2.740774603323593e-004 2.693631146349345e-004 
2.299999999999999e-011 4.618297022890954e-005 4.048359590890010e-005 2.771586344599797e-004 2.688471708482632e-004 -3.105007855100392e-004 3.197512144899608e-004 2.714109493878581e-004 2.726384043145334e-004 
2.324999999999999e-011 -8.898408648772593e-006 8.255481028553734e-006 2.709457471148750e-004 2.546490328155354e-004 -3.095432488508020e-004 3.207087511491980e-004 2.616743136860291e-004 2.709715708162100e-004 
